Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.36,0,0.802038,0
1,9.3,0,0.677631,0
2,9.18,0,0.522553,0
3,9.28,0,0.640153,0
4,9.08,0,0.340468,0
5,9.2,0,0.699854,0
6,69.94,0,240.189,0
7,109.7,0,303.491,0
8,69.56,0,240.272,0
9,93.74,0,274.092,0
10,101.4,0,273.004,0
11,184.52,0,366.889,0
12,274.22,0,423.969,0
13,188.46,0,349.456,0
14,148.82,0,296.184,0
15,167.76,0,314.782,0
16,209.44,0,361.477,0
17,228.62,0,378.331,0
18,248.5,0,378.606,0
19,324.58,0,438.771,0
20,155.72,0,318.217,0
21,305.88,0,410.704,0
22,227.54,0,342.565,0
23,391.74,0,453.056,0
24,321.62,0,425.781,0
25,261.96,0,393.641,0
26,415.64,0,460.883,0
27,420.98,0,464.57,0
28,397.74,0,462.859,0
29,475,0,470.662,0
30,512.74,0,478.7,0
31,396.98,0,471.331,0
32,551.6,0,472.376,0
33,437.66,0,441.319,0
34,463.08,0,464.885,0
35,485.72,0,477.048,0
36,410.54,0,465.934,0
37,477.92,0,480.739,0
38,372.62,0,461.997,0
39,422.86,0,469.107,0
40,485.6,0,491.574,0
41,610.2,0,478.934,0
42,531.14,0,487.752,0
43,542.48,0,493.701,0
44,481.18,0,482.046,0
45,577.6,0,480.92,0
46,601.38,0,487.619,0
47,600.6,0,488.598,0
48,475.48,0,486.927,0
49,445.52,0,488.379,0
