Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,13.38,0,5.19768
1,0,11.08,0,2.50583
2,0,10.66,0,2.32651
3,0,10.22,0,1.85483
4,0,11.58,0,2.68092
5,0,10.88,0,2.09606
6,0,10.44,0,1.54074
7,0,11.06,0,2.36824
8,0,10.78,0,2.17865
9,0,11.04,0,2.02998
10,0,10.82,0,2.52085
11,0,11.02,0,2.86777
12,0,10.46,0,1.5414
13,0,10.98,0,2.40314
14,0,11.4,0,2.67261
15,0,10.9,0,1.75255
16,0,10.92,0,2.9196
17,0,11.16,0,2.20722
18,0,10.48,0,1.65665
19,0,10.38,0,1.51037
20,0,10.54,0,1.9082
21,0,10.88,0,2.46312
22,0,10.7,0,2.14999
23,0,10.94,0,2.15151
24,0,10.72,0,2.12891
25,0,10.92,0,2.39762
26,0,10.58,0,1.7623
27,0,10.58,0,1.6548
28,0,10.72,0,1.78474
29,0,11.42,0,2.77077
30,0,10.8,0,2.08982
31,0,10.94,0,1.99397
32,0,10.78,0,2.08287
33,0,10.64,0,2.37985
34,0,10.74,0,2.21138
35,0,11.46,0,2.81548
36,0,10.22,0,1.85483
37,0,10.9,0,1.94044
38,0,11.32,0,3.38327
39,0,11.04,0,2.16616
40,0,10.6,0,1.61624
41,0,10.7,0,2.15946
42,0,10.86,0,2.71812
43,0,10.9,0,2.32335
44,0,11.82,0,2.93251
45,0,10.72,0,2.39932
46,0,10.44,0,1.56701
47,0,10.72,0,2.53981
48,0,11.3,0,2.90847
49,0,11.24,0,2.89658
