Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,18.68,0,11.0314
1,0,9.44,0,0.501427
2,0,9,0,0
3,0,11.2,0,2.50713
4,0,9,0,0
5,0,9.88,0,1.00285
6,0,22.76,0,14.5414
7,0,9.44,0,0.501427
8,0,9.56,0,0.501427
9,0,10.32,0,1.50428
10,0,10.56,0,0.501427
11,0,9,0,0
12,0,20.96,0,8.02282
13,0,9.44,0,0.501427
14,0,10.12,0,1.00285
15,0,20.4,0,7.5214
16,0,9.44,0,0.501427
17,0,10.7,0,1.48805
18,0,10.82,0,1.024
19,0,9.48,0,0.61412
20,0,10.7,0,1.48805
21,0,10.82,0,1.024
22,0,9.48,0,0.61412
23,0,10.7,0,1.48805
24,0,10.82,0,1.024
25,0,9.48,0,0.61412
26,0,10.7,0,1.48805
27,0,10.82,0,1.024
28,0,9.48,0,0.61412
29,0,10.7,0,1.48805
30,0,10.82,0,1.024
31,0,9.48,0,0.61412
32,0,10.7,0,1.48805
33,0,10.82,0,1.024
34,0,9.48,0,0.61412
35,0,10.7,0,1.48805
36,0,10.82,0,1.024
37,0,9.48,0,0.61412
38,0,10.7,0,1.48805
39,0,10.82,0,1.024
40,0,9.48,0,0.61412
41,0,10.7,0,1.48805
42,0,10.9,0,1.11117
43,0,9.54,0,0.705951
44,0,10.66,0,1.47924
45,0,10.8,0,1.04978
46,0,9.54,0,0.705951
47,0,10.66,0,1.47924
48,0,10.8,0,1.04978
49,0,9.54,0,0.705951
