Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-79.252,0,13.8311
1,0,-70.8,0,85.5464
2,0,-46.306,0,76.3057
3,0,-43.278,0,79.01
4,0,-29.05,0,52.2881
5,0,-19.826,0,40.8679
6,0,-19.298,0,38.7943
7,0,-20.456,0,47.7233
8,0,-14.204,0,22.0624
9,0,-14.963,0,33.441
10,0,-16.128,0,39.0519
11,0,-10.533,0,19.5715
12,0,-12.857,0,31.8341
13,0,-18.315,0,48.2449
14,0,-14.846,0,37.8784
15,0,-9.038,0,9.64794
16,0,-13.378,0,41.9741
17,0,-12.181,0,32.4589
18,0,-9.912,0,12.7984
19,0,-12.456,0,32.6603
20,0,-12.438,0,31.3436
21,0,-8.081,0,9.45052
22,0,-11.137,0,17.5784
23,0,-8.504,0,11.3303
24,0,-6.847,0,8.99978
25,0,-8.408,0,12.8797
26,0,-10.152,0,30.6461
27,0,-10.239,0,24.8345
28,0,-8.182,0,10.8071
29,0,-7.322,0,8.66495
30,0,-6.522,0,8.01693
31,0,-7.411,0,11.6267
32,0,-9.523,0,17.4115
33,0,-7.498,0,9.574
34,0,-6.76,0,9.12006
35,0,-6.808,0,7.6806
36,0,-7.757,0,9.57494
37,0,-6.767,0,7.72341
38,0,-6.217,0,7.84472
39,0,-8.656,0,11.9523
40,0,-7.688,0,9.70531
41,0,-10.021,0,30.6594
42,0,-11.491,0,31.1856
43,0,-8.209,0,13.9004
44,0,-8.421,0,21.9238
45,0,-8.316,0,30.1614
46,0,-7.194,0,11.8577
47,0,-6.504,0,8.12973
48,0,-7.643,0,14.2643
49,0,-8.264,0,14.8926
50,0,-7.254,0,8.96926
51,0,-9.538,0,30.6821
52,0,-11.261,0,31.6976
53,0,-8.878,0,13.4361
54,0,-9.092,0,17.2461
55,0,-6.983,0,9.60529
56,0,-9.209,0,15.7895
57,0,-7.895,0,11.9861
58,0,-7.716,0,9.94622
59,0,-12.119,0,42.0895
60,0,-8.011,0,14.3699
61,0,-7.567,0,13.0105
62,0,-9.767,0,30.7741
63,0,-6.157,0,7.06171
64,0,-6.824,0,10.2609
65,0,-6.083,0,10.4623
66,0,-5.026,0,6.60853
67,0,-6.139,0,7.11136
68,0,-6.249,0,8.17212
69,0,-6.598,0,9.73858
70,0,-9.296,0,30.6297
71,0,-10.521,0,30.7614
72,0,-6.898,0,11.1311
73,0,-5.401,0,7.99759
74,0,-5.94,0,7.04471
75,0,-8.702,0,16.9045
76,0,-9.846,0,30.8513
77,0,-6.649,0,7.26712
78,0,-7.894,0,11.5241
79,0,-7.342,0,9.55936
80,0,-8.286,0,15.5622
81,0,-6.015,0,9.4462
82,0,-5.558,0,7.99951
83,0,-5.934,0,7.35843
84,0,-7.14,0,10.5395
85,0,-10.447,0,29.2132
86,0,-6.429,0,8.39741
87,0,-6.476,0,10.2914
88,0,-5.496,0,7.71303
89,0,-8.285,0,18.4237
90,0,-6.413,0,8.54447
91,0,-5.998,0,7.81047
92,0,-5.918,0,6.66387
93,0,-8.832,0,16.9221
94,0,-5.789,0,7.5735
95,0,-6.745,0,9.94999
96,0,-5.747,0,6.58939
97,0,-7.009,0,15.7136
98,0,-5.86,0,8.35773
99,0,-4.607,0,6.42091
