Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-1734.98,0,197.94,0
1,-1145.06,0,513.677,0
2,-877.65,0,648.766,0
3,-536.77,0,509.104,0
4,-403.34,0,362.077,0
5,-321.95,0,254.243,0
6,-268.52,0,181.573,0
7,-225.99,0,75.8251,0
8,-223.73,0,73.9004,0
9,-217.53,0,50.1258,0
10,-204.19,0,45.2313,0
11,-215.39,0,181.386,0
12,-199.04,0,36.4716,0
13,-196.61,0,34.7847,0
14,-191.05,0,34.804,0
15,-193.85,0,37.8421,0
16,-188.95,0,37.388,0
17,-192.93,0,33.962,0
18,-193.59,0,34.385,0
19,-187.51,0,34.007,0
20,-195.63,0,35.749,0
21,-195.16,0,32.3662,0
22,-188.58,0,34.092,0
23,-195.22,0,34.1525,0
24,-199.1,0,34.6584,0
25,-193.71,0,32.7375,0
26,-190.78,0,29.5476,0
27,-199.87,0,32.866,0
28,-202.35,0,29.1836,0
29,-199.55,0,28.4425,0
30,-195.67,0,22.9277,0
31,-199.59,0,25.4122,0
32,-198.8,0,29.0548,0
33,-202.73,0,27.5435,0
34,-201.08,0,27.5005,0
35,-200.82,0,24.9785,0
36,-196.01,0,25.6249,0
37,-205.25,0,25.1715,0
38,-201.1,0,25.7272,0
39,-208.01,0,27.5371,0
