Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,15.78,0,8.40138
1,0,13.46,0,4.90402
2,0,12.7,0,4.03682
3,0,13.74,0,5.72431
4,0,12.28,0,3.30763
5,0,13.18,0,5.48724
6,0,13.82,0,5.61954
7,0,12.3,0,2.80851
8,0,13.26,0,4.53022
9,0,12.96,0,3.46975
10,0,15.24,0,15.2202
11,0,15.1,0,8.52428
12,0,13.32,0,8.35303
13,0,14.84,0,6.36111
14,0,15.92,0,13.6798
15,0,21.38,0,30.5079
16,0,25.8,0,28.8097
17,0,33.1,0,45.7479
18,0,36.38,0,47.3385
19,0,44.86,0,79.0644
20,0,43.04,0,54.7275
21,0,71.4,0,136.171
22,0,55.9,0,91.3257
23,0,64.3,0,72.6704
24,0,61.12,0,72.0316
25,0,74,0,87.3912
26,0,66.06,0,60.9481
27,0,95.84,0,96.1902
28,0,100.12,0,102.505
29,0,105.86,0,129.702
30,0,105.16,0,94.1376
31,0,124.96,0,121.446
32,0,135.7,0,175.622
33,0,119.38,0,143.72
34,0,111.52,0,120.395
35,0,139.7,0,140.976
36,0,108.1,0,115.742
37,0,142.5,0,150.012
38,0,124.84,0,127.253
39,0,177.38,0,142.293
40,0,140.28,0,114.142
41,0,162.06,0,174.312
42,0,114.18,0,102.502
43,0,103.58,0,86.1148
44,0,119.8,0,112.367
45,0,135.62,0,122.957
46,0,162.94,0,160.13
47,0,133.38,0,120.253
48,0,146.74,0,113.033
49,0,152.42,0,154.137
