Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,16.04,0,10.0528
1,0,10.36,0,2.20167
2,0,10.14,0,1.39985
3,0,9.98,0,1.2534
4,0,9.98,0,1.47759
5,0,9.78,0,1.09339
6,0,9.82,0,1.40973
7,0,9.88,0,1.11831
8,0,10.08,0,1.58874
9,0,10.28,0,1.53915
10,0,10.16,0,2.04401
11,0,10.14,0,1.35541
12,0,10.34,0,1.50658
13,0,10.04,0,1.52476
14,0,9.82,0,1.30447
15,0,10.08,0,1.25909
16,0,10.34,0,1.64887
17,0,10,0,1.41421
18,0,10.16,0,1.48956
19,0,9.84,0,1.4619
20,0,10.06,0,1.42012
21,0,9.84,0,1.39035
22,0,10.38,0,2.42344
23,0,9.96,0,1.51132
24,0,9.96,0,1.32419
25,0,10,0,1.48461
26,0,9.98,0,1.42127
27,0,9.94,0,1.43442
28,0,10.2,0,1.6413
29,0,10.16,0,1.58256
30,0,9.98,0,1.2534
31,0,9.9,0,1.48805
32,0,9.96,0,1.44222
33,0,9.92,0,1.35285
34,0,9.46,0,0.908239
35,0,10.2,0,1.56492
36,0,10.12,0,1.85868
37,0,10.12,0,1.62431
38,0,10.22,0,1.35962
39,0,10.22,0,1.38932
40,0,9.86,0,1.29378
41,0,10.02,0,1.33233
42,0,10,0,1.59079
43,0,9.74,0,1.15723
44,0,9.64,0,0.942424
45,0,10.02,0,1.39225
46,0,9.84,0,1.40495
47,0,10.08,0,1.66403
48,0,10.14,0,2.14771
49,0,10.22,0,1.74133
