Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,19.12,0,11.5328
1,0,9,0,0
2,0,9,0,0
3,0,9,0,0
4,0,9.56,0,0.501427
5,0,9,0,0
6,0,12.2,0,2.50713
7,0,9,0,0
8,0,11.64,0,3.00856
9,0,9,0,0
10,0,11.8,0,2.50713
11,0,31,0,20.7207
12,0,9,0,0
13,0,87.76,0,75.09
14,0,12.1,0,14.8671
15,0,12.02,0,4.34478
16,0,9.12,0,0.627271
17,0,22.68,0,9.72361
18,0,9.42,0,0.498569
19,0,10.6,0,1.97949
20,0,54.32,0,55.8279
21,0,9.04,0,0.282843
22,0,10.04,0,3.4932
23,0,22.32,0,12.3659
24,0,11.04,0,6.99259
25,0,28.44,0,118.583
26,0,11.8,0,3.4641
27,0,13.2,0,4.0051
28,0,60.84,0,51.7988
29,0,12.78,0,21.6043
30,0,10.86,0,12.7263
31,0,9.02,0,0.141421
32,0,14.74,0,40.0147
33,0,9.4,0,0.494872
34,0,17.88,0,31.3659
35,0,10.98,0,10.8393
36,0,10.28,0,1.48516
37,0,12.28,0,5.33774
38,0,12.2,0,3.88613
39,0,62.92,0,44.3796
40,0,48.9,0,48.105
41,0,9.4,0,1.34012
42,0,28.64,0,43.0291
43,0,9.08,0,0.444467
44,0,9.28,0,1.40029
45,0,11.74,0,13.8885
46,0,13.2,0,19.6925
47,0,24.2,0,21.0548
48,0,22.62,0,22.3003
49,0,10.08,0,6.68181
