Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,37,0,15.8475,0
1,24.66,0,14.2164,0
2,28.68,0,24.4344,0
3,21.08,0,12.9344,0
4,25,0,16.4961,0
5,21.18,0,11.5294,0
6,22.66,0,14.9702,0
7,29.62,0,25.7705,0
8,25.06,0,13.9773,0
9,26.36,0,16.3504,0
10,25.98,0,18.8295,0
11,25.16,0,18.4196,0
12,31.54,0,21.7502,0
13,25.34,0,22.5457,0
14,25.88,0,18.7024,0
15,26.86,0,20.1646,0
16,25.78,0,16.9191,0
17,25.24,0,19.1573,0
18,27.14,0,18.6011,0
19,24.22,0,13.3145,0
20,28.6,0,25.841,0
21,23.14,0,13.3722,0
22,27.9,0,22.6114,0
23,29.94,0,17.8993,0
24,25.46,0,16.4617,0
25,25.42,0,15.0984,0
26,24.38,0,18.8776,0
27,28.12,0,19.363,0
28,27.88,0,17.5809,0
29,23.16,0,11.9256,0
30,22,0,13.2865,0
31,31.32,0,19.7292,0
32,24.96,0,14.5433,0
33,28.88,0,21.818,0
34,28.58,0,16.5789,0
35,26.84,0,20.3934,0
36,24.56,0,16.0524,0
37,20.02,0,12.8595,0
38,19.74,0,13.5704,0
39,14.3,0,8.74409,0
40,16.1,0,11.6693,0
41,12.36,0,8.30972,0
42,14.5,0,13.7681,0
43,10.92,0,6.64812,0
44,9.74,0,1.75906,0
45,10.2,0,4.92805,0
46,9.4,0,1.48461,0
47,9.38,0,1.21033,0
48,9.44,0,1.72804,0
49,9.16,0,0.467734,0
