Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,22.32,0,13.2101
1,0,14.4,0,8.07111
2,0,13.98,0,9.46204
3,0,15.56,0,10.593
4,0,16,0,10.4978
5,0,12.92,0,5.16993
6,0,12.62,0,6.56798
7,0,12.64,0,3.69644
8,0,12.42,0,4.62509
9,0,13.32,0,5.92621
10,0,14.24,0,7.22117
11,0,12.16,0,4.38159
12,0,14.42,0,8.04602
13,0,13.8,0,15.6987
14,0,16.4,0,12.0068
15,0,13.12,0,6.79928
16,0,13.64,0,6.48943
17,0,13.48,0,6.06845
18,0,13.46,0,5.78954
19,0,13.58,0,6.69477
20,0,15.04,0,7.45862
21,0,14.64,0,7.53701
22,0,12.18,0,3.76173
23,0,12.64,0,5.97191
24,0,15.38,0,10.3705
25,0,11.68,0,3.76037
26,0,14.68,0,11.9633
27,0,14.48,0,7.58957
28,0,13.24,0,6.10306
29,0,12.68,0,6.04216
30,0,13.04,0,8.93962
31,0,14.1,0,7.64319
32,0,13.6,0,7.20261
33,0,12.6,0,5.01427
34,0,13.84,0,8.6764
35,0,12.54,0,4.79885
36,0,13.18,0,4.85584
37,0,12.14,0,6.52158
38,0,14.36,0,8.84045
39,0,15.44,0,9.33538
40,0,13.98,0,7.27167
41,0,13.94,0,6.83153
42,0,12.12,0,4.33608
43,0,13.94,0,6.2773
44,0,13.38,0,6.17728
45,0,15.22,0,7.42387
46,0,16.8,0,12.9031
47,0,14.16,0,7.05766
48,0,13.06,0,7.18675
49,0,13.5,0,7.12927
