Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,16.62,0,9.96297
1,0,17.88,0,17.847
2,0,26.48,0,53.3335
3,0,20.88,0,23.5057
4,0,66.12,0,154.924
5,0,58.68,0,80.3598
6,0,79.48,0,110.416
7,0,95.52,0,151.961
8,0,114.02,0,117.371
9,0,125.1,0,178.462
10,0,127.4,0,137.5
11,0,123.32,0,162.236
12,0,168.8,0,219.881
13,0,156.24,0,184.311
14,0,158.1,0,180.494
15,0,190.1,0,226.788
16,0,133.12,0,168.135
17,0,225.92,0,276
18,0,225.7,0,252.069
19,0,138.7,0,153.366
20,0,218.1,0,244.725
21,0,203.06,0,237.581
22,0,222.88,0,242.817
23,0,237.98,0,283.242
24,0,192.68,0,215.892
25,0,296.44,0,292.912
26,0,208.68,0,241.626
27,0,213.06,0,236.862
28,0,221.3,0,249.748
29,0,262.44,0,305.233
30,0,288.3,0,277.542
31,0,257.5,0,212.278
32,0,284.88,0,312.333
33,0,216.72,0,261.931
34,0,228.66,0,234.979
35,0,251.38,0,242.524
36,0,289.9,0,288.526
37,0,260.58,0,253.686
38,0,263.98,0,252.717
39,0,314.52,0,292.792
40,0,260.02,0,244.392
41,0,253.68,0,273.55
42,0,363.48,0,289.021
43,0,257.82,0,287.743
44,0,273.1,0,251.821
45,0,248.34,0,242.69
46,0,289.78,0,263.454
47,0,255.02,0,249.036
48,0,235.94,0,252.147
49,0,329.1,0,302.889
