Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,16.62,0,12.9045,0
1,14.94,0,7.76809,0
2,17.4,0,19.9969,0
3,20.42,0,19.5397,0
4,28.78,0,41.3029,0
5,24.2,0,23.1658,0
6,20.5,0,14.8547,0
7,42.84,0,45.1977,0
8,40.3,0,38.6007,0
9,56.2,0,59.0074,0
10,38.36,0,36.134,0
11,38.54,0,31.1862,0
12,47.16,0,40.5439,0
13,43.4,0,38.3486,0
14,58.72,0,45.8534,0
15,47.88,0,43.4603,0
16,44.62,0,40.8985,0
17,48.96,0,45.7263,0
18,41.72,0,37.269,0
19,45.94,0,34.7219,0
20,39.54,0,35.691,0
21,48.06,0,38.215,0
22,52.38,0,67.3177,0
23,44.1,0,28.9209,0
24,55.5,0,53.108,0
25,45.8,0,32.5244,0
26,42.3,0,38.1545,0
27,41.56,0,24.2438,0
28,50.22,0,42.1829,0
29,45.82,0,30.9303,0
30,50.4,0,38.1677,0
31,49.86,0,29.6545,0
32,50.44,0,37.8095,0
33,59.04,0,35.6971,0
34,56.16,0,31.5823,0
35,60.08,0,49.5444,0
36,50.86,0,34.3244,0
37,50.96,0,32.654,0
38,56.24,0,41.2343,0
39,52.12,0,37.8831,0
40,62.84,0,45.1222,0
41,50.06,0,25.6821,0
42,42.48,0,24.4492,0
43,53.52,0,34.9923,0
44,47.48,0,30.9187,0
45,59.54,0,49.7882,0
46,59.08,0,38.7008,0
47,50.56,0,29.7837,0
48,55.56,0,47.5077,0
49,60.76,0,40.2754,0
