Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,22.8,0,13.2634
1,0,17.2,0,15.341
2,0,14.9,0,6.46261
3,0,16.78,0,11.4665
4,0,19.52,0,11.8515
5,0,16.82,0,11.57
6,0,20.34,0,16.7656
7,0,18.78,0,11.8206
8,0,15.12,0,7.80277
9,0,18.1,0,11.3735
10,0,21.18,0,16.0047
11,0,18.74,0,14.4049
12,0,20.62,0,18.3446
13,0,21.08,0,15.4336
14,0,17.5,0,11.4647
15,0,18.74,0,12.4209
16,0,20.4,0,21.1949
17,0,18.74,0,15.5443
18,0,18.62,0,10.6501
19,0,20.16,0,10.7786
20,0,19.48,0,13.9668
21,0,21.08,0,19.3863
22,0,19.08,0,17.2731
23,0,21.2,0,21.2228
24,0,18.56,0,13.7532
25,0,21.76,0,16.1113
26,0,19.18,0,14.0693
27,0,21.24,0,28.0856
28,0,20.66,0,16.3003
29,0,16.38,0,11.8613
30,0,18.74,0,14.4106
31,0,20.24,0,15.428
32,0,18.12,0,13.3074
33,0,18.1,0,15.6117
34,0,18.1,0,11.7217
35,0,17.14,0,9.44589
36,0,23.66,0,23.032
37,0,16.58,0,10.587
38,0,18.96,0,12.204
39,0,16.88,0,10.2273
40,0,20,0,13.5707
41,0,19.04,0,13.1924
42,0,18.42,0,13.968
43,0,21.02,0,16.6715
44,0,20.86,0,12.6765
45,0,20.52,0,16.1185
46,0,20.92,0,17.5265
47,0,16.96,0,7.79314
48,0,16.44,0,10.6793
49,0,20.56,0,13.8478
