Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,22.32,0,13.2101
1,0,14.72,0,8.80408
2,0,12.64,0,9.62302
3,0,14.6,0,9.00567
4,0,12.7,0,5.10002
5,0,12.32,0,5.25062
6,0,13.88,0,6.11335
7,0,12.76,0,8.88604
8,0,14.86,0,7.64255
9,0,12.56,0,5.18695
10,0,13.88,0,7.13611
11,0,12.5,0,7.33527
12,0,12.94,0,6.99099
13,0,13.6,0,9.26261
14,0,15.22,0,11.114
15,0,13.54,0,6.21456
16,0,13.28,0,7.71175
17,0,13.76,0,9.93768
18,0,13.96,0,8.45869
19,0,13.8,0,9.54046
20,0,14.68,0,9.11702
21,0,15.92,0,10.8003
22,0,11.36,0,3.42714
23,0,13.5,0,6.22126
24,0,15.52,0,12.2562
25,0,13.92,0,6.85964
26,0,13.84,0,8.48374
27,0,17.08,0,10.9467
28,0,14.82,0,17.6863
29,0,15.92,0,10.7473
30,0,14.28,0,6.85131
31,0,13.94,0,7.43519
32,0,12.64,0,4.84351
33,0,12.06,0,5.60033
34,0,12.6,0,6.21716
35,0,13.82,0,7.47155
36,0,14.94,0,8.29657
37,0,12.82,0,4.82633
38,0,15.7,0,9.27197
39,0,13.26,0,7.08494
40,0,13.5,0,7.16069
41,0,12.98,0,5.99146
42,0,13.5,0,7.96997
43,0,13.26,0,8.33192
44,0,12.08,0,4.37451
45,0,14.3,0,9.31369
46,0,12.58,0,6.30869
47,0,14.52,0,7.05153
48,0,12.48,0,7.20045
49,0,13.84,0,7.67014
