Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,9,0,0,0
7,10,0,0,0
8,10,0,0,0
9,10,0,0,0
10,10,0,0,0
11,9.98,0,0.141421,0
12,9.98,0,0.141421,0
13,9.98,0,0.141421,0
14,10,0,0,0
15,25.66,0,2.26427,0
16,29.04,0,141.704,0
17,26.56,0,117.241,0
18,16.78,0,54.8688,0
19,976.98,0,169.725,0
20,14.52,0,38.7447,0
21,15.16,0,21.3373,0
22,96.16,0,31.2536,0
23,81.96,0,32.8403,0
24,20.22,0,5.6579,0
25,12.72,0,6.39528,0
26,21.42,0,22.7857,0
27,19.3,0,19.8168,0
28,17.44,0,12.0088,0
29,17.28,0,14.8118,0
30,19.28,0,19.6074,0
31,19.7,0,20.3923,0
32,20.94,0,24.9362,0
33,17.94,0,23.6215,0
34,16.32,0,19.4248,0
35,14.56,0,15.4182,0
36,16.26,0,19.3283,0
37,14.9,0,17.71,0
38,14.02,0,12.7607,0
39,14.36,0,14.3324,0
40,13.94,0,11.7741,0
41,14.54,0,16.5655,0
42,14.8,0,16.6403,0
43,15.02,0,18.5961,0
44,15.76,0,19.3976,0
45,14.38,0,13.4299,0
46,14.26,0,13.7601,0
47,14.5,0,15.3334,0
48,14.46,0,14.915,0
49,14.48,0,15.889,0
