Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,16.18,0,9.72623
1,0,9.5,0,0.788954
2,0,9.42,0,0.882714
3,0,9.48,0,0.735125
4,0,9.24,0,0.59109
5,0,9.3,0,1.0351
6,0,9.28,0,0.671277
7,0,9.34,0,0.847806
8,0,9.24,0,0.555492
9,0,9.68,0,1.09619
10,0,9.26,0,0.564602
11,0,9.44,0,0.993037
12,0,9.44,0,0.993037
13,0,9.5,0,0.814411
14,0,9.48,0,0.952762
15,0,9.42,0,0.641745
16,0,9.24,0,0.770899
17,0,9.28,0,0.671277
18,0,9.68,0,1.16829
19,0,9.58,0,1.05153
20,0,9.38,0,0.90102
21,0,9.66,0,1.22241
22,0,9.44,0,0.907115
23,0,9.54,0,1.01439
24,0,9.3,0,0.614452
25,0,9.34,0,0.823383
26,0,9.42,0,0.758355
27,0,9.62,0,1.29189
28,0,9.42,0,0.784805
29,0,9.4,0,0.755929
30,0,9.84,0,1.58256
31,0,9.5,0,1.12938
32,0,9.36,0,0.721676
33,0,9.3,0,0.762648
34,0,9.48,0,0.99468
35,0,9.8,0,1.14286
36,0,9.58,0,0.991597
37,0,11.78,0,16.0805
38,0,43.02,0,164.779
39,0,21.5,0,66.0078
40,0,27.66,0,80.232
41,0,51.88,0,169.081
42,0,88.6,0,261.225
43,0,83.88,0,227.853
44,0,113.5,0,279.041
45,0,135.56,0,319.758
46,0,104.18,0,252.851
47,0,177.98,0,349.452
48,0,170.92,0,321.668
49,0,163.54,0,320.689
