Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,14.2,0,7.03925
1,0,10.16,0,1.68256
2,0,10.1,0,1.40335
3,0,9.98,0,1.2534
4,0,10.06,0,1.49024
5,0,9.82,0,1.13731
6,0,9.8,0,1.27775
7,0,9.82,0,1.08214
8,0,10.24,0,1.9437
9,0,10.38,0,1.61485
10,0,10.14,0,1.89532
11,0,10,0,1.29363
12,0,10.38,0,1.51037
13,0,10.22,0,1.63245
14,0,9.76,0,1.31801
15,0,10.06,0,1.46259
16,0,10.44,0,1.77465
17,0,10.32,0,1.73134
18,0,10.1,0,1.40335
19,0,9.86,0,1.26184
20,0,9.98,0,1.26958
21,0,9.74,0,1.12141
22,0,10.42,0,2.40823
23,0,10.02,0,1.47759
24,0,9.92,0,1.2911
25,0,9.82,0,1.22374
26,0,9.84,0,1.37559
27,0,10.02,0,1.31692
28,0,10.48,0,1.97164
29,0,11.18,0,5.1969
30,0,11.2,0,9.27362
31,0,12.02,0,14.6698
32,0,11.54,0,8.18214
33,0,10.14,0,1.66611
34,0,9.96,0,1.49775
35,0,10.44,0,2.79329
36,0,10.04,0,1.33951
37,0,10.52,0,1.86526
38,0,10.24,0,1.67283
39,0,11.7,0,8.73242
40,0,11.36,0,4.88964
41,0,12.18,0,8.52054
42,0,13.74,0,11.0302
43,0,20.28,0,60.0381
44,0,16.74,0,24.698
45,0,23.92,0,46.679
46,0,24.02,0,48.3607
47,0,23.42,0,39.9311
48,0,29.1,0,49.1986
49,0,25.3,0,43.6275
