Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,9,0,0,0
7,9,0,0,0
8,9,0,0,0
9,9,0,0,0
10,9,0,0,0
11,9,0,0,0
12,9,0,0,0
13,9,0,0,0
14,9,0,0,0
15,10,0,0,0
16,10,0,0,0
17,10,0,0,0
18,10,0,0,0
19,10,0,0,0
20,10,0,0,0
21,10,0,0,0
22,10,0,0,0
23,10,0,0,0
24,10,0,0,0
25,10,0,0,0
26,10,0,0,0
27,10,0,0,0
28,10,0,0,0
29,10,0,0,0
30,10,0,0,0
31,10,0,0,0
32,10,0,0,0
33,10,0,0,0
34,10,0,0,0
35,10,0,0,0
36,10,0,0,0
37,11,0,0,0
38,12,0,0,0
39,12,0,0,0
40,12,0,0,0
41,12,0,0,0
42,434.06,0,0.424264,0
43,124.04,0,92.2067,0
44,339.32,0,94.1866,0
45,384.68,0,47.2347,0
46,292.46,0,25.0316,0
47,421.58,0,59.5384,0
48,990.96,0,141.704,0
49,17.6,0,60.8112,0
