Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-1196.34,0,147.889
1,0,-571.24,0,158.11
2,0,-384.06,0,199.236
3,0,-378.09,0,301.356
4,0,-392.82,0,415.012
5,0,-436.86,0,616.162
6,0,-378.42,0,501.229
7,0,-523.16,0,792.976
8,0,-470.76,0,776.172
9,0,-449.82,0,854.395
10,0,-243.7,0,415.701
11,0,-425.54,0,751.014
12,0,-275.61,0,531.419
13,0,-256.2,0,502.383
14,0,-196.17,0,392.401
15,0,-208.66,0,364.383
16,0,-166.14,0,85.7884
17,0,-153.51,0,18.8816
18,0,-157.69,0,25.6163
19,0,-160.88,0,29.0069
20,0,-166,0,30.7561
21,0,-169.33,0,122.597
22,0,-162.23,0,31.7687
23,0,-160.39,0,25.3385
24,0,-157.14,0,23.5278
25,0,-160.95,0,27.6286
26,0,-167.6,0,32.5179
27,0,-169.64,0,31.0862
28,0,-167.88,0,31.1997
29,0,-170.32,0,32.0113
30,0,-175.29,0,31.7361
31,0,-179.25,0,30.6193
32,0,-175.43,0,32.9711
33,0,-181.39,0,36.5433
34,0,-177.12,0,31.3965
35,0,-188.86,0,34.8231
36,0,-181.9,0,33.4723
37,0,-183.01,0,31.3911
38,0,-187.42,0,31.6254
39,0,-187.19,0,36.4045
