Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,9,0,0,0
7,9,0,0,0
8,10,0,0,0
9,10,0,0,0
10,10,0,0,0
11,10.24,0,1.69706,0
12,9.98,0,0.141421,0
13,10,0,0,0
14,10,0,0,0
15,23.86,0,98.005,0
16,10.4,0,2.82843,0
17,22.94,0,91.644,0
18,11.96,0,13.8593,0
19,41.08,0,109.111,0
20,9.02,0,0.141421,0
21,16.28,0,44.5508,0
22,33.06,0,143.765,0
23,693.1,0,153.737,0
24,401.54,0,87.6273,0
25,367.26,0,125.152,0
26,250.46,0,104.618,0
27,512.34,0,217.203,0
28,96.5,0,181.799,0
29,385.16,0,175.472,0
30,376.54,0,223.107,0
31,359.9,0,200.054,0
32,365.32,0,195.61,0
33,614.44,0,426.536,0
34,155.54,0,275.963,0
35,210.14,0,187.988,0
36,215.96,0,197.388,0
37,151.58,0,158.597,0
38,132.22,0,158.703,0
39,122.64,0,119.86,0
40,137.34,0,153.105,0
41,122.12,0,56.5659,0
42,110.66,0,56.1084,0
43,118.7,0,44.5844,0
44,146.04,0,147.587,0
45,131.72,0,165.425,0
46,109.22,0,68.2709,0
47,120.4,0,70.4739,0
48,111,0,88.6665,0
49,128.44,0,79.5226,0
