Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,19.02,0,17.0719,0
1,21.18,0,19.6424,0
2,22.92,0,26.7107,0
3,22.28,0,19.1898,0
4,27.8,0,22.6482,0
5,34.08,0,27.8838,0
6,37.1,0,29.435,0
7,33.52,0,27.5357,0
8,38.48,0,32.8194,0
9,36.94,0,25.759,0
10,38.96,0,35.0347,0
11,36.8,0,28.128,0
12,37.54,0,21.8447,0
13,39.48,0,28.049,0
14,41,0,23.6263,0
15,47.84,0,32.4813,0
16,43.8,0,30.4946,0
17,47.68,0,35.3406,0
18,47.96,0,27.1864,0
19,50.48,0,32.9119,0
20,41.12,0,21.9207,0
21,41.2,0,27.8414,0
22,41.34,0,23.2569,0
23,47.32,0,29.4219,0
24,45.02,0,29.8086,0
25,48.24,0,33.1136,0
26,50.82,0,28.8626,0
27,50.14,0,26.7567,0
28,43.52,0,21.1025,0
29,57.96,0,33.4828,0
30,48,0,34.0294,0
31,48.78,0,28.6551,0
32,46.28,0,28.1853,0
33,48.08,0,34.291,0
34,50.22,0,30.9155,0
35,47.3,0,35.6383,0
36,48.58,0,38.6111,0
37,45.56,0,28.1673,0
38,49.02,0,37.4757,0
39,46.68,0,28.8794,0
40,53.04,0,39.1204,0
41,42.96,0,22.5506,0
42,45.54,0,31.2209,0
43,56.76,0,43.6337,0
44,55.8,0,36.7634,0
45,63.5,0,51.5218,0
46,46.56,0,34.9169,0
47,47.36,0,34.3712,0
48,46.7,0,31.4463,0
49,54.28,0,27.7408,0
