Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,11,0,0,0
5,31,0,0,0
6,9,0,0,0
7,9,0,0,0
8,133.76,0,14.5414,0
9,91.12,0,63.6812,0
10,20.44,0,13.0371,0
11,25.28,0,18.5528,0
12,9,0,0,0
13,17.32,0,1.50428,0
14,9.44,0,0.501427,0
15,15.6,0,7.5214,0
16,12.12,0,1.00285,0
17,9,0,0,0
18,9,0,0,0
19,23.34,0,13.0597,0
20,14.84,0,4.55515,0
21,9.08,0,0.565685,0
22,9,0,0,0
23,14.14,0,4.19431,0
24,14.94,0,5.53803,0
25,15.24,0,6.97096,0
26,11.16,0,2.01383,0
27,16.96,0,8.76673,0
28,9.26,0,1.83848,0
29,21.28,0,9.61512,0
30,9,0,0,0
31,19.02,0,9.9519,0
32,18.82,0,8.98,0
33,26.86,0,1.06924,0
34,12.64,0,3.5327,0
35,35.94,0,25.1367,0
36,14.22,0,4.99097,0
37,20,0,12.5357,0
38,20.62,0,10.1396,0
39,15,0,1.21218,0
40,10.1,0,3.55281,0
41,12.92,0,1.2752,0
42,20.26,0,10.3723,0
43,13.16,0,4.03738,0
44,13.22,0,6.97895,0
45,10.08,0,4.62398,0
46,11.08,0,2.01869,0
47,10.78,0,3.79737,0
48,22.3,0,15.3241,0
49,25.3,0,14.8547,0
