Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,13.14,0,6.06432,0
1,36.22,0,73.6548,0
2,41.46,0,76.4613,0
3,52.98,0,75.6146,0
4,86,0,97.8658,0
5,69.62,0,81.136,0
6,53.58,0,54.8512,0
7,87.32,0,96.4368,0
8,67.92,0,75.3581,0
9,73.84,0,70.981,0
10,62.48,0,72.8998,0
11,51.6,0,59.343,0
12,47.48,0,64.7038,0
13,67.16,0,78.6873,0
14,56.4,0,56.9851,0
15,48.34,0,49.0775,0
16,68.72,0,68.0483,0
17,64.62,0,66.9584,0
18,46.4,0,53.8232,0
19,50.82,0,60.848,0
20,46.04,0,51.0414,0
21,40.7,0,50.3661,0
22,54,0,132.81,0
23,55.68,0,137.477,0
24,51.2,0,60.0979,0
25,43.34,0,45.0445,0
26,48.34,0,73.5154,0
27,48.16,0,53.5173,0
28,43.34,0,48.5477,0
29,45,0,53.159,0
30,44.42,0,56.4581,0
31,49.16,0,57.0461,0
32,49.98,0,51.0548,0
33,62.38,0,146.105,0
34,45.94,0,53.9684,0
35,64.84,0,93.9191,0
36,49.36,0,62.4414,0
37,61.52,0,80.0358,0
38,66.88,0,149.724,0
39,38.48,0,44.3162,0
40,38.94,0,51.0468,0
41,49.96,0,63.1755,0
42,39.62,0,56.3719,0
43,43.52,0,75.3103,0
44,37.78,0,57.526,0
45,45.46,0,71.5311,0
46,33.36,0,45.1712,0
47,47.44,0,64.7602,0
48,38.98,0,67.0624,0
49,57.6,0,102.862,0
