Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-152.58,0,81.1756,0
1,-82.43,0,73.2612,0
2,-93.51,0,107.171,0
3,-151.26,0,246.372,0
4,-184.82,0,291.546,0
5,-145.43,0,234.902,0
6,-169.14,0,266.135,0
7,-155.52,0,234.747,0
8,-158.02,0,250.503,0
9,-132.04,0,217.32,0
10,-141.93,0,231.351,0
11,-147.67,0,241.463,0
12,-101.59,0,162.505,0
13,-137.55,0,205.454,0
14,-117.24,0,187.347,0
15,-166.3,0,256.847,0
16,-112.8,0,194.63,0
17,-122.89,0,181.529,0
18,-111.9,0,188.501,0
19,-128.63,0,217.372,0
