Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,18.1,0,11.2798
1,0,22.62,0,39.0028
2,0,23.54,0,29.215
3,0,36.62,0,39.384
4,0,43.56,0,53.8229
5,0,46.32,0,83.4294
6,0,55.38,0,79.8105
7,0,58.8,0,77.1849
8,0,70.58,0,82.8495
9,0,73.78,0,87.9439
10,0,63.82,0,76.5444
11,0,69.78,0,83.4827
12,0,83.98,0,76.8944
13,0,85.06,0,77.5175
14,0,66.14,0,75.4935
15,0,109.16,0,104.292
16,0,100.48,0,128.996
17,0,97,0,104.323
18,0,111.54,0,124.025
19,0,122.12,0,136.772
20,0,101.34,0,105.685
21,0,113.3,0,110.914
22,0,123.22,0,133.708
23,0,102.28,0,93.2959
24,0,100.3,0,88.6323
25,0,142,0,110.36
26,0,116.24,0,97.7194
27,0,144.24,0,151.654
28,0,117.22,0,110.533
29,0,143.14,0,128.503
30,0,138,0,164.652
31,0,156.54,0,148.083
32,0,144.34,0,144.122
33,0,144.66,0,166.205
34,0,108.5,0,77.3313
35,0,94.54,0,86.8264
36,0,135.28,0,134.669
37,0,158.88,0,139.851
38,0,160.36,0,163.329
39,0,131.34,0,148.947
40,0,167.92,0,152.368
41,0,167.28,0,140.007
42,0,119.9,0,93.831
43,0,125.94,0,105.084
44,0,144.72,0,140.266
45,0,156.56,0,155.063
46,0,163.68,0,167.081
47,0,166.16,0,149.266
48,0,163.84,0,134.785
49,0,125.42,0,159.36
