Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,15.4,0,9.41774
1,0,10.96,0,2.30315
2,0,10.62,0,2.32019
3,0,10.34,0,1.94422
4,0,11.58,0,2.6961
5,0,10.88,0,2.09606
6,0,10.42,0,1.42986
7,0,11.02,0,2.31667
8,0,10.84,0,2.17931
9,0,10.92,0,2.04879
10,0,10.66,0,2.13436
11,0,11.14,0,3.07066
12,0,10.34,0,1.50658
13,0,11.3,0,2.64382
14,0,11.26,0,2.45623
15,0,10.96,0,1.74917
16,0,10.94,0,2.93751
17,0,11.3,0,2.17828
18,0,10.36,0,1.65073
19,0,10.38,0,1.51037
20,0,10.32,0,1.5576
21,0,10.84,0,2.45249
22,0,10.56,0,2.14913
23,0,10.94,0,2.24436
24,0,10.56,0,1.90766
25,0,10.88,0,2.41289
26,0,10.5,0,1.64441
27,0,10.64,0,1.65073
28,0,10.68,0,1.75476
29,0,11.48,0,2.72734
30,0,10.74,0,2.00825
31,0,11.06,0,2.16097
32,0,10.98,0,2.36893
33,0,10.68,0,2.2537
34,0,10.74,0,2.31067
35,0,11.34,0,2.60776
36,0,10.12,0,1.49339
37,0,10.78,0,2.12171
38,0,11.36,0,3.32437
39,0,10.8,0,2.11891
40,0,10.66,0,1.82511
41,0,10.94,0,2.63733
42,0,10.56,0,2.48391
43,0,10.96,0,2.49047
44,0,11.82,0,2.92554
45,0,10.46,0,2.323
46,0,12.28,0,12.9142
47,0,12.96,0,15.293
48,0,12.9,0,15.4975
49,0,11.94,0,4.27814
