Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.78,0,1.1119,0
1,9.42,0,0.784805,0
2,9.46,0,0.761577,0
3,9.54,0,0.908239,0
4,9.34,0,0.688388,0
5,9.4,0,1.04978,0
6,9.48,0,0.838852,0
7,9.44,0,0.812153,0
8,9.26,0,0.664247,0
9,9.44,0,0.884331,0
10,9.42,0,0.859283,0
11,9.42,0,1.08965,0
12,9.5,0,1.29756,0
13,9.38,0,0.752953,0
14,9.56,0,1.26427,0
15,9.54,0,0.862128,0
16,9.4,0,0.880631,0
17,9.32,0,0.652781,0
18,9.8,0,1.30931,0
19,9.46,0,0.787919,0
20,9.66,0,1.06157,0
21,9.38,0,1.00793,0
22,9.56,0,0.972269,0
23,9.56,0,0.884331,0
24,9.52,0,0.838852,0
25,9.22,0,0.545482,0
26,11.24,0,12.1261,0
27,29.44,0,141.649,0
28,11.38,0,13.6843,0
29,9.38,0,0.696639,0
30,11.84,0,17.6408,0
31,11.24,0,13.1173,0
32,9.34,0,0.798212,0
33,9.66,0,2.10548,0
34,9.42,0,0.784805,0
35,9.56,0,2.0619,0
36,9.46,0,0.930438,0
37,9.68,0,2.3771,0
38,9.52,0,1.1292,0
39,9.48,0,0.908913,0
40,9.76,0,1.15281,0
41,9.54,0,1.24884,0
42,9.4,0,1.08797,0
43,9.68,0,1.13281,0
44,11.42,0,12.9695,0
45,13.62,0,27.8054,0
46,11.34,0,12.7193,0
47,14.18,0,31.2356,0
48,12.78,0,15.8582,0
49,12.78,0,19.6129,0
