Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,14.28,0,8.04335
1,0,11.08,0,2.52207
2,0,10.5,0,1.78714
3,0,10.24,0,1.82455
4,0,11.62,0,2.7322
5,0,10.72,0,2.01058
6,0,10.44,0,1.54074
7,0,11.5,0,2.75718
8,0,11.24,0,5.47931
9,0,10.78,0,1.89833
10,0,11.76,0,7.06402
11,0,10.88,0,2.66221
12,0,13.58,0,16.2871
13,0,52.18,0,167.686
14,0,71.92,0,223.399
15,0,29.36,0,84.4236
16,0,53.14,0,168.718
17,0,73.54,0,223.715
18,0,102.02,0,238.139
19,0,129.48,0,299.143
20,0,124.66,0,258.935
21,0,108.3,0,242.783
22,0,62.92,0,181.185
23,0,225.94,0,393.038
24,0,131.06,0,288.28
25,0,188.8,0,357.195
26,0,114.44,0,256.244
27,0,192.54,0,347.503
28,0,256.12,0,403.249
29,0,296.3,0,431.855
30,0,167,0,314.302
31,0,330.04,0,429.141
32,0,339.72,0,412.863
33,0,346.12,0,441.228
34,0,339.24,0,425.278
35,0,236.84,0,374.175
36,0,397.26,0,462.742
37,0,276.18,0,400.393
38,0,397.02,0,447.821
39,0,332.74,0,403.714
40,0,357.26,0,420.909
41,0,382.9,0,439.541
42,0,331.18,0,428.961
43,0,376.8,0,439.356
44,0,296.48,0,413.436
45,0,472.38,0,466.172
46,0,347.64,0,419.668
47,0,315.54,0,405.254
48,0,377.92,0,418.905
49,0,440.62,0,462.263
