Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,10,0,0,0
7,10,0,0,0
8,10,0,0,0
9,10,0,0,0
10,10,0,0,0
11,10,0,0,0
12,10,0,0,0
13,26,0,0,0
14,9,0,0,0
15,9,0,0,0
16,1011,0,0,0
17,9,0,0,0
18,12.02,0,9.64363,0
19,109.38,0,20.5693,0
20,97.4,0,21.8296,0
21,10.44,0,2.47568,0
22,12.4,0,2.16654,0
23,18.88,0,1.18907,0
24,18,0,0.728431,0
25,15.3,0,1.14731,0
26,15.1,0,0.543984,0
27,16.72,0,18.2377,0
28,16.54,0,17.3937,0
29,16.44,0,17.4053,0
30,14.74,0,18.6644,0
31,16.96,0,21.3713,0
32,14.54,0,16.96,0
33,15.56,0,11.4823,0
34,12.22,0,0.840068,0
35,13.94,0,0.651842,0
36,12.42,0,2.6961,0
37,14.18,0,2.48826,0
38,12.42,0,2.6961,0
39,14.18,0,2.48826,0
40,12.42,0,2.6961,0
41,14.18,0,2.48826,0
42,12.38,0,2.71722,0
43,14.14,0,2.53956,0
44,12.38,0,2.71722,0
45,14.06,0,2.63733,0
46,12.28,0,2.77775,0
47,13.84,0,1.21823,0
48,12.12,0,1.18907,0
49,13.86,0,1.14304,0
