Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9.78,0,1.1119,0
1,9.42,0,0.784805,0
2,9.46,0,0.761577,0
3,9.54,0,0.908239,0
4,9.34,0,0.688388,0
5,9.4,0,1.04978,0
6,9.48,0,0.838852,0
7,9.44,0,0.812153,0
8,9.28,0,0.729551,0
9,9.44,0,0.884331,0
10,9.46,0,0.930438,0
11,9.48,0,1.35887,0
12,9.56,0,1.4591,0
13,9.46,0,0.885484,0
14,9.52,0,1.09246,0
15,9.58,0,1.03194,0
16,10.1,0,5.25376,0
17,18.88,0,65.2582,0
18,78.7,0,234.482,0
19,96.26,0,257.532,0
20,110.52,0,266.051,0
21,170.44,0,331.822,0
22,212.42,0,363.921,0
23,210.7,0,352.309,0
24,215.74,0,314.94,0
25,351.64,0,428.962,0
26,362.4,0,415.812,0
27,300.98,0,387.878,0
28,273.36,0,339.742,0
29,423.46,0,411.303,0
30,387.2,0,398.348,0
31,398.1,0,393.982,0
32,390.24,0,419.391,0
33,328.06,0,404.903,0
34,376.2,0,424.958,0
35,366.44,0,416.578,0
36,409.26,0,403.101,0
37,531.6,0,408.74,0
38,409.36,0,442.231,0
39,334.34,0,358.117,0
40,354.28,0,382.283,0
41,474.62,0,408.532,0
42,390.1,0,417.919,0
43,462.9,0,400.967,0
44,461.96,0,411.917,0
45,481.6,0,392.324,0
46,521.96,0,416.325,0
47,516.44,0,436.499,0
48,385.8,0,423.904,0
49,476.38,0,458.215,0
