Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,23.08,0,16.0456
1,0,9,0,0
2,0,9,0,0
3,0,9,0,0
4,0,9,0,0
5,0,213.1,0,237.639
6,0,11.2,0,2.50713
7,0,51.84,0,50.8135
8,0,18.4,0,66.468
9,0,19.92,0,77.2161
10,0,95.68,0,102.97
11,0,122.36,0,130.438
12,0,145.86,0,156.892
13,0,71.04,0,78.5976
14,0,22.2,0,64.4911
15,0,64.74,0,73.0255
16,0,22.46,0,43.0591
17,0,26.04,0,41.9752
18,0,28.38,0,70.6645
19,0,56.6,0,92.1713
20,0,83.16,0,112.552
21,0,59.26,0,115.912
22,0,25.36,0,65.658
23,0,25.74,0,86.0903
24,0,53.2,0,112.447
25,0,31.9,0,142
26,0,9.68,0,1.69561
27,0,21.16,0,71.316
28,0,19.14,0,19.1194
29,0,13.68,0,14.6823
30,0,47.42,0,52.9933
31,0,11.52,0,13.0794
32,0,14.38,0,21.1331
33,0,15.64,0,25.7767
34,0,17.52,0,24.8746
35,0,21.46,0,22.9864
36,0,17.32,0,26.2005
37,0,21.62,0,34.2046
38,0,25.56,0,29.8911
39,0,22.76,0,41.9735
40,0,26.84,0,41.7252
41,0,23.46,0,25.8853
42,0,16.74,0,18.0496
43,0,45.26,0,47.7834
44,0,20.4,0,26.8966
45,0,24.96,0,32.2775
46,0,29.8,0,47.0375
47,0,31.56,0,40.1976
48,0,26.24,0,40.6882
49,0,76.42,0,58.7666
