Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,21.48,0,10.2285
1,0,16.5,0,11.2327
2,0,17.8,0,9.07115
3,0,21.08,0,11.3224
4,0,19.18,0,10.5341
5,0,20.2,0,16.0153
6,0,22.8,0,17.8509
7,0,19.28,0,9.76675
8,0,18.7,0,11.8101
9,0,19.1,0,9.49167
10,0,23.22,0,15.9889
11,0,19.68,0,9.84044
12,0,15.96,0,7.95385
13,0,20.94,0,12.8768
14,0,21.48,0,12.8448
15,0,20.4,0,9.955
16,0,17.22,0,8.75585
17,0,18.72,0,10.5831
18,0,19.7,0,10.9772
19,0,18.92,0,9.89917
20,0,19.72,0,9.71227
21,0,19.02,0,10.1126
22,0,19.22,0,10.1645
23,0,21.5,0,13.8273
24,0,16.36,0,8.51831
25,0,20.88,0,10.9705
26,0,15.04,0,7.08537
27,0,19.92,0,12.6392
28,0,18.32,0,9.82384
29,0,17.96,0,7.49411
30,0,21.5,0,11.8067
31,0,21.56,0,12.4919
32,0,19.18,0,11.823
33,0,17.88,0,10.8715
34,0,17.18,0,8.48454
35,0,20.3,0,11.7495
36,0,24.18,0,14.9198
37,0,20.82,0,10.9836
38,0,24.1,0,16.2584
39,0,22.1,0,11.8653
40,0,17.62,0,7.2334
41,0,15.64,0,7.97383
42,0,21.62,0,14.6425
43,0,16.66,0,7.81576
44,0,17.32,0,8.19517
45,0,18.06,0,11.1911
46,0,19.5,0,9.25655
47,0,22.06,0,14.4638
48,0,18.6,0,9.0689
49,0,20.22,0,11.5038
