Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,9,0,0,0
7,9,0,0,0
8,9,0,0,0
9,9,0,0,0
10,9,0,0,0
11,9.06,0,0.424264,0
12,9.02,0,0.141421,0
13,9.02,0,0.141421,0
14,9.02,0,0.141421,0
15,10,0,0,0
16,19,0,63.6396,0
17,23.34,0,94.328,0
18,10,0,0.202031,0
19,10.04,0,0.282843,0
20,30.02,0,141.563,0
21,9.98,0,0.141421,0
22,9.98,0,0.141421,0
23,19.8,0,69.2965,0
24,24.3,0,100.972,0
25,10.04,0,0.282843,0
26,37.96,0,148.656,0
27,42.14,0,159.091,0
28,47,0,183.648,0
29,41.94,0,158.445,0
30,38.26,0,139.853,0
31,14.14,0,20.6684,0
32,12.02,0,14.2836,0
33,12.82,0,20.0852,0
34,15.6,0,39.3104,0
35,18.12,0,44.4452,0
36,18.06,0,42.924,0
37,19.16,0,40.4951,0
38,26.42,0,72.6518,0
39,23.56,0,63.3762,0
40,20.66,0,61.0913,0
41,27.84,0,79.5137,0
42,439.66,0,44.4507,0
43,216.7,0,229.459,0
44,379.58,0,232.185,0
45,320.98,0,167.967,0
46,330.46,0,216.497,0
47,373.16,0,194.46,0
48,731.26,0,412.87,0
49,207.12,0,351.21,0
