Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-1736.39,0,213.494,0
1,-1062.89,0,572.035,0
2,-788.99,0,707.549,0
3,-557.19,0,712.452,0
4,-352.91,0,503.92,0
5,-303.65,0,414.084,0
6,-213.83,0,117.827,0
7,-192.55,0,93.6726,0
8,-177.39,0,65.2078,0
9,-171.85,0,65.4838,0
10,-160.52,0,32.3074,0
11,-157.79,0,31.2627,0
12,-153.38,0,26.2962,0
13,-161.93,0,32.0534,0
14,-157.36,0,31.5023,0
15,-154.67,0,26.4021,0
16,-152.68,0,23.3432,0
17,-150.77,0,27.0983,0
18,-152.99,0,25.4429,0
19,-154.74,0,23.2277,0
20,-149.17,0,23.6716,0
21,-153.54,0,24.1821,0
22,-149.99,0,24.298,0
23,-151.03,0,26.9359,0
24,-153.22,0,30.7688,0
25,-149.88,0,29.513,0
26,-154,0,29.9397,0
27,-153.63,0,31.2325,0
28,-149.52,0,30.5295,0
29,-147.29,0,33.3613,0
30,-142,0,28.6737,0
31,-142.66,0,29.383,0
32,-143.08,0,31.3468,0
33,-141.82,0,29.4136,0
34,-147.76,0,32.0634,0
35,-142.59,0,34.0618,0
36,-142.23,0,30.8187,0
37,-148.15,0,36.5194,0
38,-140.47,0,30.683,0
39,-141.42,0,32.663,0
