Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,40.16,0,77.1019
1,0,59.9,0,160.119
2,0,108.58,0,217.947
3,0,91.1,0,161.829
4,0,111.68,0,204.365
5,0,110.56,0,217.199
6,0,157.56,0,292.272
7,0,107.26,0,193.249
8,0,87.54,0,160.271
9,0,157.64,0,277.327
10,0,128.4,0,250.121
11,0,160.56,0,229.572
12,0,137.38,0,245.945
13,0,119.38,0,239.859
14,0,93.3,0,168.605
15,0,140.94,0,247.573
16,0,154.26,0,268.292
17,0,102.3,0,210.541
18,0,107.3,0,206.823
19,0,135.92,0,229.615
20,0,124.44,0,210.447
21,0,124.64,0,232.284
22,0,131.5,0,237.091
23,0,108.52,0,202.596
24,0,117.16,0,203.883
25,0,147.34,0,250.287
26,0,165.64,0,251.714
27,0,179.62,0,272.922
28,0,139.16,0,251.989
29,0,192.66,0,291.7
30,0,122.14,0,209.079
31,0,92.5,0,139.128
32,0,168.76,0,260.016
33,0,137.3,0,247.221
34,0,137.1,0,258.128
35,0,131.86,0,222.676
36,0,108.32,0,203.162
37,0,118.06,0,206.885
38,0,80.96,0,108.509
39,0,162.56,0,283.384
40,0,108.66,0,197.288
41,0,201.18,0,315.305
42,0,122.16,0,236.644
43,0,121.96,0,270.921
44,0,110.08,0,202.044
45,0,110.46,0,191.064
46,0,95.42,0,184.491
47,0,135.48,0,239.872
48,0,123.76,0,202.859
49,0,111.54,0,191.932
