Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,10,0,0,0
2,9,0,0,0
3,9,0,0,0
4,16,0,0,0
5,29,0,0,0
6,9,0,0,0
7,9,0,0,0
8,31,0,0,0
9,23,0,0,0
10,18,0,0,0
11,20.92,0,3.50999,0
12,18.4,0,5.01427,0
13,11.64,0,3.00856,0
14,13.08,0,3.50999,0
15,16.72,0,6.01712,0
16,11.2,0,2.50713,0
17,23.16,0,5.51569,0
18,19.64,0,9.5271,0
19,14.6,0,5.01427,0
20,12.96,0,4.51284,0
21,20.44,0,13.0371,0
22,21.76,0,2.00571,0
23,12.92,0,3.50999,0
24,27.08,0,16.0456,0
25,18.4,0,5.01427,0
26,9.56,0,0.501427,0
27,10.68,0,1.50428,0
28,17.48,0,8.52425,0
29,9.56,0,0.501427,0
30,25.7,0,17.4089,0
31,9,0,0,0
32,16.04,0,8.02282,0
33,9.46,0,2.33177,0
34,37,0,30.2324,0
35,18.24,0,10.9685,0
36,22.28,0,14.3385,0
37,9.28,0,1.9799,0
38,9.42,0,0.498569,0
39,14.54,0,6.07507,0
40,10.8,0,10.24,0
41,33.06,0,20.7329,0
42,9.72,0,5.09117,0
43,99.3,0,73.0416,0
44,58.88,0,43.8502,0
45,12.32,0,3.82494,0
46,21.3,0,10.0737,0
47,9.28,0,1.60408,0
48,9.22,0,1.55563,0
49,29.18,0,8.84259,0
