Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,18.68,0,11.0314
1,0,9.44,0,0.501427
2,0,9,0,0
3,0,11.2,0,2.50713
4,0,9,0,0
5,0,9.88,0,1.00285
6,0,22.76,0,14.5414
7,0,9.44,0,0.501427
8,0,9.56,0,0.501427
9,0,10.32,0,1.50428
10,0,10.56,0,0.501427
11,0,9,0,0
12,0,20.96,0,8.02282
13,0,9.44,0,0.501427
14,0,10.12,0,1.00285
15,0,20.3,0,7.46488
16,0,9.46,0,0.503457
17,0,10.64,0,1.49503
18,0,10.94,0,1.2521
19,0,9.5,0,0.614452
20,0,11.02,0,3.24188
21,0,10.8,0,1.04978
22,0,9.78,0,2.14086
23,0,10.68,0,1.5576
24,0,10.84,0,1.05676
25,0,9.54,0,0.64555
26,0,11.18,0,4.27947
27,0,10.94,0,1.2521
28,0,9.5,0,0.614452
29,0,10.64,0,1.49503
30,0,10.8,0,1.04978
31,0,9.66,0,1.34938
32,0,10.66,0,1.47924
33,0,10.8,0,1.04978
34,0,9.78,0,2.14086
35,0,10.64,0,1.49503
36,0,10.84,0,1.0174
37,0,9.68,0,1.4769
38,0,10.64,0,1.49503
39,0,10.86,0,1.03036
40,0,9.5,0,0.614452
41,0,10.64,0,1.49503
42,0,10.94,0,1.1141
43,0,9.56,0,0.704504
44,0,10.6,0,1.48461
45,0,10.84,0,1.05676
46,0,9.56,0,0.704504
47,0,10.6,0,1.48461
48,0,10.84,0,1.05676
49,0,9.56,0,0.704504
