Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,9,0,0,0
5,9,0,0,0
6,9,0,0,0
7,9,0,0,0
8,9,0,0,0
9,9,0,0,0
10,10,0,0,0
11,23.14,0,92.9138,0
12,10,0,0,0
13,25,0,106.066,0
14,25.38,0,108.753,0
15,23.58,0,96.0251,0
16,15.1,0,36.0624,0
17,35.22,0,129.745,0
18,33.92,0,125.884,0
19,25.56,0,110.026,0
20,10.02,0,0.318799,0
21,12.14,0,15.277,0
22,14.96,0,24.5664,0
23,531.5,0,86.805,0
24,706.76,0,191.934,0
25,628.62,0,223.049,0
26,61.74,0,137.166,0
27,31.7,0,65.433,0
28,123.18,0,44.1827,0
29,120.14,0,111.115,0
30,125.38,0,48.135,0
31,46.18,0,81.9628,0
32,148.36,0,119.735,0
33,165.62,0,170.608,0
34,152.2,0,141.396,0
35,182.4,0,166.711,0
36,156.56,0,139.16,0
37,169.56,0,191.013,0
38,204.44,0,206.724,0
39,161.66,0,149.607,0
40,229.72,0,186.071,0
41,259.72,0,208.368,0
42,239.98,0,184.178,0
43,243.48,0,161.099,0
44,316.34,0,188.569,0
45,399.22,0,267.71,0
46,607.06,0,414.161,0
47,516.7,0,442.741,0
48,215.78,0,312.379,0
49,240.88,0,250.106,0
