Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,-1033.52,0,154.444
1,0,-402.9,0,146.335
2,0,-371.1,0,281.972
3,0,-349.47,0,386.867
4,0,-331.92,0,375.452
5,0,-486.65,0,686.455
6,0,-520.85,0,884.169
7,0,-335.34,0,541.383
8,0,-285.19,0,447.899
9,0,-372.22,0,610.911
10,0,-294.84,0,526.516
11,0,-278.48,0,546.348
12,0,-191.51,0,262.693
13,0,-152.24,0,24.3278
14,0,-153.78,0,28.7938
15,0,-158.03,0,33.7963
16,0,-153.65,0,24.5951
17,0,-152.74,0,23.9855
18,0,-156,0,26.9901
19,0,-157.25,0,24.4087
20,0,-161.66,0,28.3364
21,0,-163.36,0,28.4181
22,0,-165.72,0,25.1657
23,0,-166.32,0,23.7295
24,0,-169.81,0,29.3508
25,0,-166.83,0,27.313
26,0,-171.32,0,27.0726
27,0,-173.79,0,31.9979
28,0,-175.41,0,31.402
29,0,-176.31,0,29.1179
30,0,-178.35,0,37.5374
31,0,-178.97,0,32.9975
32,0,-187.16,0,34.4661
33,0,-184.16,0,35.9078
34,0,-187.15,0,35.0106
35,0,-187.38,0,40.002
36,0,-189.11,0,40.3742
37,0,-183.25,0,31.0547
38,0,-187.93,0,39.607
39,0,-190.06,0,37.6236
