Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,0,16.5,0,8.79993
1,0,15.76,0,15.7436
2,0,14.82,0,9.74091
3,0,33.78,0,53.3805
4,0,22.08,0,24.6997
5,0,28.18,0,39.5359
6,0,32.1,0,48.8146
7,0,43.06,0,56.3279
8,0,64.72,0,96.2919
9,0,72.9,0,128.585
10,0,51.64,0,60.6421
11,0,41.46,0,48.2037
12,0,58.72,0,67.3862
13,0,77.06,0,109.145
14,0,86.8,0,89.3231
15,0,69.56,0,84.9858
16,0,76.5,0,78.2141
17,0,102.84,0,116.898
18,0,93,0,124.959
19,0,105.46,0,149.879
20,0,114.04,0,148.491
21,0,108.64,0,129.884
22,0,86.6,0,90.0671
23,0,101.08,0,119.505
24,0,130.4,0,118.946
25,0,148.52,0,182.49
26,0,82.9,0,112.33
27,0,100.6,0,116.798
28,0,115.2,0,143.019
29,0,105.82,0,120.749
30,0,132.34,0,145.262
31,0,164.6,0,174.807
32,0,142.12,0,160.627
33,0,130.78,0,153.819
34,0,163.36,0,139.211
35,0,106.26,0,93.6321
36,0,143.7,0,107.912
37,0,122.1,0,167.207
38,0,149.38,0,145.958
39,0,121.06,0,161.65
40,0,148.86,0,185.174
41,0,121.96,0,105.416
42,0,137.04,0,137.298
43,0,171.16,0,158.189
44,0,149.42,0,125.421
45,0,178.08,0,156.745
46,0,146.98,0,152.563
47,0,155.9,0,141.645
48,0,137.76,0,141.606
49,0,180.3,0,174.266
