Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,9,0,0,0
1,9,0,0,0
2,9,0,0,0
3,9,0,0,0
4,11,0,0,0
5,31,0,0,0
6,9,0,0,0
7,9,0,0,0
8,133.3,0,14.3744,0
9,88.48,0,64.1243,0
10,20.28,0,13.1181,0
11,23.96,0,18.0237,0
12,10.86,0,13.1522,0
13,16.72,0,2.32151,0
14,9.6,0,1.16058,0
15,15.64,0,9.34543,0
16,12.4,0,3.21349,0
17,9.66,0,3.34182,0
18,9.06,0,0.424264,0
19,23.16,0,12.9479,0
20,15.42,0,7.18868,0
21,10,0,4.21852,0
22,9.9,0,4.51867,0
23,14.54,0,6.40539,0
24,14.72,0,5.55139,0
25,14.92,0,7.00973,0
26,11.54,0,3.13772,0
27,17.24,0,10.5609,0
28,9.6,0,2.9966,0
29,22.7,0,12.7491,0
30,10.16,0,4.93368,0
31,17.94,0,9.76543,0
32,18.42,0,9.08034,0
33,25,0,5.60248,0
34,13.92,0,7.98683,0
35,34.64,0,24.165,0
36,13.92,0,5.31398,0
37,22.8,0,19.8041,0
38,19.64,0,10.5071,0
39,15.2,0,3.18158,0
40,11.84,0,7.5278,0
41,14,0,5.42481,0
42,18.66,0,10.2591,0
43,15.54,0,12.7603,0
44,13.22,0,7.34094,0
45,13.52,0,16.2735,0
46,12.42,0,5.50729,0
47,11.24,0,4.41038,0
48,21.94,0,14.9917,0
49,23.74,0,14.6159,0
