Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,10.16,0,1.29929,0
1,10.22,0,1.76462,0
2,10.04,0,1.30868,0
3,10.26,0,1.7357,0
4,10.12,0,1.67381,0
5,10.12,0,1.18907,0
6,10.08,0,1.45462,0
7,9.68,0,0.913392,0
8,9.98,0,1.33233,0
9,10.1,0,1.3132,0
10,10.02,0,1.80125,0
11,10,0,1.38505,0
12,10.54,0,1.71678,0
13,9.92,0,1.36785,0
14,9.78,0,1.44688,0
15,10.16,0,1.48956,0
16,10.36,0,1.62581,0
17,10.14,0,1.47094,0
18,10.48,0,1.70521,0
19,10.08,0,1.39737,0
20,10.28,0,1.67868,0
21,9.74,0,1.06541,0
22,10.34,0,2.36134,0
23,10.04,0,1.70186,0
24,10.12,0,1.45181,0
25,9.84,0,1.51671,0
26,9.78,0,1.26636,0
27,9.72,0,1.17872,0
28,10.12,0,1.74543,0
29,10.16,0,1.54339,0
30,10,0,1.19523,0
31,9.86,0,1.35541,0
32,10.08,0,1.62682,0
33,10.16,0,1.68256,0
34,10.04,0,1.48407,0
35,10.24,0,1.75616,0
36,10.06,0,1.50387,0
37,10,0,1.26168,0
38,10.16,0,1.13137,0
39,10.06,0,1.57026,0
40,9.7,0,1.32865,0
41,10.14,0,1.29378,0
42,10.24,0,1.92258,0
43,9.92,0,1.48241,0
44,9.86,0,1.51199,0
45,10.52,0,2.14038,0
46,10,0,1.62882,0
47,10.26,0,2.01838,0
48,10.26,0,1.81614,0
49,10.44,0,1.93949,0
